date,time (London: GMT/BST),open,high,low,close,pricechange,volatility,settlement,24-hour return,48-hour return,72-hour return
05/01/2018,00:00,15143.67,15242.91,14900,14951.06,-1.271885,0.022644,0,-0.078849,3.222080,13.061400
05/01/2018,04:00,14951.06,15090.23,14810,14919.44,-0.211490,0.018743,0,-0.761988,0.611906,11.944491
05/01/2018,08:00,14939,16189,14921.76,16034.93,7.336033,0.084828,0,0.679056,-2.273375,11.285674
05/01/2018,12:00,16034.93,16100,15735.99,15969.11,-0.410479,0.022701,0,10.080417,7.561250,18.087975
05/01/2018,16:00,15981.21,16532.99,15981.21,16442,2.883324,0.034527,0,9.826229,5.651882,16.525117
05/01/2018,20:00,16442.27,17200,16301,16928,2.954154,0.054676,0,9.578607,11.386777,10.826840
12/01/2018,00:00,13249.99,13698,12807.27,13600.05,2.641964,0.067225,0,-11.073833,-8.008603,-11.666674
12/01/2018,04:00,13620,13791.09,13395.76,13648.27,0.207562,0.029026,0,2.639617,-3.451297,-10.453767
12/01/2018,08:00,13648.08,14152.19,13329.03,13990.08,2.505847,0.060313,0,0.485491,-2.973068,-10.032373
12/01/2018,12:00,13991,14152.19,13675,13698.54,-2.090344,0.034107,0,4.022227,-1.048920,-5.498143
12/01/2018,16:00,13698.45,13837.71,13395.76,13778.48,0.584227,0.032263,0,-1.936789,-4.917699,-6.749830
12/01/2018,20:00,13778.48,13976.61,13568.44,13781.41,0.021265,0.029624,0,2.824554,-4.034479,-6.586513
19/01/2018,00:00,11290.9,11589.73,11080.37,11223.89,-0.593487,0.045112,0,0.820609,-0.904601,-16.866569
19/01/2018,04:00,11177.54,11677.82,11054.84,11447.18,2.412338,0.055735,0,-2.132544,2.001234,-13.646274
19/01/2018,08:00,11436,11942.24,11247.62,11792.97,3.121459,0.060740,0,6.569850,1.714995,-8.125318
19/01/2018,12:00,11792.97,12050.39,11445.94,11559.26,-1.981774,0.051255,0,1.944850,15.505697,-5.032570
19/01/2018,16:00,11559.26,11735.32,11025.18,11285.9,-2.364857,0.061435,0,-4.269950,21.184666,-6.123709
19/01/2018,20:00,11290,11560.83,11190.58,11552,2.320638,0.032795,0,-4.524313,7.578008,-1.889390
26/01/2018,00:00,11140.01,11635,11105.13,11557.44,3.747124,0.047565,0,-2.289014,2.682462,3.052821
26/01/2018,04:00,11557.37,11571.41,11030,11060.86,-4.296047,0.046845,0,-0.631341,6.634823,6.194886
26/01/2018,08:00,11050.01,11060.59,10263.32,10523.99,-4.760358,0.072151,0,-3.345807,0.772344,7.177699
26/01/2018,12:00,10519.99,11059.99,10402,11043.08,4.972343,0.062547,0,-5.768547,-4.844952,3.197963
26/01/2018,16:00,11049.98,11250,10869.04,10961.35,-0.802083,0.034476,1,-4.405818,-19.334085,-30.856425
26/01/2018,20:00,10961.28,11160.8,10780.18,11092.95,1.201228,0.034724,0,-2.403826,-2.140865,-0.620325
02/02/2018,00:00,9010.87,9022.82,8560,8669.76,-3.785539,0.051362,0,-11.214121,-9.629225,-19.276389
02/02/2018,04:00,8650.11,8707.9,8314.1,8426.95,-2.579852,0.045525,0,-12.988403,-12.413351,-20.735728
02/02/2018,08:00,8415.01,8430,7910,7999.9,-4.932971,0.061794,0,-15.934470,-17.284599,-23.631748
02/02/2018,12:00,8000,9000.77,7625.25,8973.35,12.166875,0.171940,0,-15.403804,-21.802148,-26.949445
02/02/2018,16:00,9000.77,9096.79,8451,8594.8,-4.510392,0.071748,0,-2.345885,-9.656130,-12.364761
02/02/2018,20:00,8587.89,8908.99,8482.53,8838.83,2.922022,0.049658,0,-1.404555,-14.112769,-15.796745
09/02/2018,00:00,8259.42,8259.42,7792.14,8088.99,-2.063462,0.056575,0,8.848301,6.748642,20.073270
09/02/2018,04:00,8082.44,8089.51,7753.32,8009.97,-0.896635,0.041595,0,1.350641,11.105246,27.664508
09/02/2018,08:00,8010,8397.27,7875,8258.1,3.097378,0.065202,0,-3.736722,3.261570,34.000492
09/02/2018,12:00,8265.85,8489.98,8170.55,8331.82,0.798103,0.038645,0,-2.678566,0.167838,28.053249
09/02/2018,16:00,8331.8,8779.62,8320,8620.04,3.459517,0.055165,0,1.511624,1.393032,13.677822
09/02/2018,20:00,8644.4,8725,8463.8,8693.98,0.573551,0.030216,0,2.704360,5.793661,14.502947
16/02/2018,00:00,10011.3,10300,10005.75,10108.56,0.971502,0.029392,0,5.482258,17.716710,12.597850
16/02/2018,04:00,10131.72,10162.97,9756.56,9756.56,-3.702826,0.040113,0,4.954938,16.429652,15.512535
16/02/2018,08:00,9756.45,9999.13,9707.51,9828.22,0.735616,0.029890,0,-1.003215,9.829612,13.246278
16/02/2018,12:00,9839.01,10134.05,9787.48,10033.95,1.981297,0.035224,0,2.181759,9.744117,15.481880
